SHIP'S NA,AKA,SHIP'S O,VESSEL TY,YEAR BUIL,WHERE B,DATE LOS,YEAR,MNTH,DAY,LOCATIO,Latitude,Longitude,LATITUDE,LONGITU,CAUSE OF,CONSTRU,FLAG,LENGTH,BEAM,DRAFT,GROSS TO,NET TON,HOME (H,DEPARTU,DESTINAT,MASTER,# CREW,# PASS,LIVES LOS,SHIP VAL,CARGO V,NATURE O,USLSS STA,LOST,PHOTO O,MISC INF,MUSEUM CROSS REFERENCE
Freighter,Dive boat capt nickn,,Freighter,,,1918,1918,,,Sea Girt E,,,40-08-01,73-53-40 W,,,,,,,,,,,,,,,,,,,Diving wr,Y,N,60 ft; Unknown history,
Friendship,,,Sloop,,,6/1825,1825,6,,Cape May,,,,,Grounded in gale,,,,,,,,,,,,,,,,,,,,N,,
Frontier,,Blaisdell,Brig Half,1862,"Brewer,",10/27/187,1875,10,27,Egg Harbor SE 6 mi,,,,,Collision,Full model,,,,11,159,,"Portland,",Philadelp,"Portland,",Blaisdell,,,,,,Coal,,N,N,Partial loss; ~$2000,
Fuller Palmer,,,Schooner,,,########,1914,1,12,Highland Light,,,,,Foundered,,,,,,,,,,,,,,,,,Coal,,,N,,
G A Graves,,,Sloop,1845,"Guilford,",11/11/0188,1888,11,11,Spermaceti Cove LSS NW 1.5 m,,,,,Stranded,Wood,US,48,18,5.8,25.84,24.55,"New York,","New York,",Sandy Ho,Sauburg,2,,0,"$1,600",$300,Lumber,Spermceti,N,N,#10398; R,See scrapbooks 38 - 43 - Purple Misc
G A Venturo,,Capt Sean,Tug,,,########,1996,10,17,Sea Girt A,,,40-07-514,73-56-465,Opened s,Steel,US,99,,,,,NJ AR,SG,64,,,,,,,,,Y,Y,Sponsor - Fisherman's Conservation Org,
G Brothers,,,Canal boat,,,1/22/1881,1881,1,22,Sandy Hook E 4 mi,,,,,Foundered,,,,,,,,,"New York,","South Amboy, NJ",,,,6,,,,,N,N,"5 of 6 boats went down; Towed by ""Heath""",
G F McCaffrey,,,Barge,1918,,########,1950,5,19,South Amboy Coal Docks,,,,,Burned,,,,,,505,,,,,,,,,,,,,,N,Burned at dock,
G L Bradley,,,Schooner,,,2/22/1878,1878,2,22,Wreck Pond N 1.5 mi,,,,,Stranded,,,,,,179.13,,Bucksport,Philadelp,"Norwich,",Chipman,6,,0,"$10,000","$1,200",Coal,Wreck Po,Y,N,#85219; Total loss,
G Porter Griffith,,,Schooner,,,10/12/0186,1866,10,12,Barnegat,,,,,Wrecked,,US,,,,,,,Stoney Po,"Camden,",Lotley,5,,0,,,Lime,,,N,,
G R Price,,,Schooner,,,1838 - 187,1860,,,Squan Inlet S 3.5 mi,,,,,Wrecked,,,,,,,,,,,,,,,,,,,,N,,
G W Barter,,Thompso,Brig,1856,"New York,",8/7/1867,1867,8,7,Barnegat Shoal,,,,,Wrecked,,US,112.8,27,10.5,223,,"New York,",Port Rich,"New York,",Allen/Lee,8,,0,,,Sugar,,,N,,
G W Crist,,,Motor ves,1874,,########,1932,8,18,"Nantauxet Creek, Newport, NJ",,,,,Burned,,,,,,23,,,,,,0,,0,,,,,,N,#85366,
G W Wright,,,Schooner,,,7/19/1872,1872,7,19,Little Egg Harbor bar,,,,,Stranded,,,,,,,,"Milton, DE",,,Johnson,,,,,,Wood,,,N,,
G-1,,U S Navy,Blimp,1929,,6/8/1942,1942,6,8,Manasquan Inlet SE 5.5 mi,,,,,"Collision w/ ""L-2""",,,184,45,,,,,Lakehurst Naval Air Sta,,,13,12,,,,,,,N,,
Galaxy (1836),,,Bark,,,3/16/1836,1836,3,16,Barnegat Light S 3 mi,,,,,Stranded,,,,,,,,,"Canton, C","New York, NY",,,,1,,,Teas,,Y,N,Total loss,
Galaxy (1972),,,Yacht Columbia 43',,,########,1972,5,20,Brigantine,,,,,In distress,,,,,,,,,,,,,,0,,,,,N,N,Towed in after distress call,
Galloway C Morris,,John C Rei,Schooner,1861,Buena Vis,11/8/1878,1878,11,8,Barnegat,,,,,Lost & split sails,,,,,,242.65,,Philadelp,Baltimore,"Saco, ME",Samuel G,6,0,0,"$5,000",,Gas coal,,,N,#10580,
Gardner,,,Canal boat,,,1/22/1881,1881,1,22,Sandy Hook,,,,,Foundered in storm,,,,,,,,,"New York,","South Amboy, NJ",,,,2,,,,,Y,N,5 of 6 boats went down together,
Gardner Coley,,,Schooner,1862,"Boston, M",2/6/1888,1888,2,6,Brigantine Shoal,,,,,Stranded,,US,172,37,23,1076.84,1044.4,"New York,",Newport,Providenc,Jacobs,4,,0,"$5,000","$6,700",Coal,Brigantin,N,N,"#10468; Refloated; In tow of ""Luther C Ward""",
Garnet,,,Schooner,,,10/3/1841,1841,10,3,,,,39-45-00,70-12-00,Capsized,,,,,,,,"Truro, MA",,,,,,,,,,,Y,N,Crew saved,
Garrick,,E K Collins,Packet shi,1836,"New York,",1/6/1841,1841,1,6,Deal Beach,,,,,Stranded i,Wood,US,157.6,35.4,21,895,,,"Liverpool,","New York,",A S Palme,67,385,,,,General cargo,,N,N,Refloated,
Gaspesienne,,Serge For,Schooner - yacht,,,########,1986,11,20,"Haven Beach, NJ",,,,,Grounded,,Canada,45,,,,,,"Quebec, C",Virginia,,5,,0,,,,,Y,Y,Total loss,
Gaston T Hubbard,,,Schooner,1861,Middleto,12/26/187,1879,12,26,Great Egg Harbor bar,,,,,Stranded,,US,,,,192.52,,"New York,",James Riv,"New York,",Loveland,6,,0,"$5,000","$1,650",Wood,Beasley's,N,N,#10426; Refloated,
Gate City,,Boston &,Steamshi,1878,"Chester, P",5/12/1888,1888,5,12,Barnegat,,,,,"Collision w/ ""Rebecc",,US,254,38.7,24.8,1112,,"Savannah,","Boston, M","Savannah,",Hodges,,,,,,,,,N,#85557,
Gazelle,,H Trowbri,Bark,1852,New Have,3/30/1877,1877,3,30,Sandy Hook SE 20 mi,,,,,"Collision w/ ""Kong K",,US,108,25.4,10.2,193,,New Have,"New York,",Demerara,Duntz,,,,,,,,N,N,#10371; Partial Damage,
Geestem,Tim Whiff,J C Meinli,Bark Stea,1862,New Bedf,9/12/1889,1889,9,12,Atlantic City,,,,,Stranded,Wood,Germany,189,37.4,23.4,1133,1098,"Bremen,","Stettin, G",Philadelp,Lenske,,,,"$20,000","$14,650",cement & empty barrels,,,N,,
General Connor,,J B Gilmor,Schooner,1866,"Stockton,",7/25/1871,1871,7,25,Barnegat,,,,,Damaged in gale,,US,,,10,273,,"Stockton,",Philadelp,"Bangor, M",W Cousina,,,,,,,,,N,,
General Cushing,,,Schooner,1851,,1/15/1853,1853,1,15,Absecon Beach,,,,,Stranded,,US,,,,,,Newbury,Newbury,"Baltimore, MD",,,,0,,"$7,880","Apples, Fish, & othe",,Y,N,Total loss; Crew saved,
General Gadsden,,Tibbitts &,Sailing ship,,,1/10/1820,1820,1,10,Deal Beach,,,,,Stranded,Wood,US,,,,,,,Amsterda,"New York,",Whitney,,8,0,,,97 pipes of gin; 400,,Y,N,Cargo/crew passengers saved; ship lost,
General Harrison,,,Schooner,,,3/1861,1861,3,,,,,,,,,,,,,,,,Great Egg,"New York, NY",,,,,,,,,,N,,
General J L Selfridge,,,Schooner,1872,Tuckerton,3/5/1900,1900,3,5,Great Egg LSS WSW .75 mi,,,,,Stranded,,US,48.4,16.5,3.5,20,19,Somers P,Pleasantv,Somers P,Willets,2,,0,"$1,200",,,,N,N,#85215; Refloated,
General Johnson,,,Sloop,,,10/10/0176,1761,10,10,Shrewsbury,,,,,Grounded; Broke up,,,,,,,,,"Jamaica,","New York, NY",,,,,,,,,Y,N,Total loss,
General McClellan,,,Schooner,1862,Thomasto,########,1900,2,17,Five Fathom Bank S 8 mi,,,,,Foundere,Wood,US,196,39.3,28.6,1596,1544,Philadelp,Lambert's,"New York, NY",,,,,,,,,,N,#10467,
General,Bermuda,Merchant,Steamshi,1861,"Stockton,",11/7/1868,1868,11,7,Sandy Hook Flynn Knoll,,,,,Collision,Iron,US,211,30.3,19.3,1002,,"Boston, M","New York,",New Orle,A W Sampson,,,0,,,,,N,N,"#10139; Rescued most of ""Marmion"" passengers",
General Meigs,,U S Army,Steamshi,1892,"Camden,",########,1907,11,22,Sandy Hook,,,,,Stranded i,Steel,US,132,26,10.3,292,175,,,Government service,,12,,0,"$70,500",,,,N,N,12 POB rescued; Refloated,
General Palmer (1885),,,Schooner,1867,Rio Grand,12/6/1885,1885,12,6,Cold Spring Bar,,,,,Stranded,,,53.8,18.9,4,26.42,25.1,Bridgeton,Cape May,Philadelp,Smith,3,,0,"$2,000",,None,,N,N,#85176; Refloated,
General Palmer (1888),,,Schooner,1867,Rio Grand,11/18/188,1888,11,18,Cold Spring Bar,,,,,Stranded,,,53.8,18.9,4,26.42,25.1,Cedarville,Philadelp,Cape May,Smith,2,,0,"$1,600",$200,Coal,Cold Sprin,Y,N,#85176; Total loss,
General Scott (1846),,,Schooner,,,9/16/1846,1846,9,16,Little Egg Harbor,,,,,Stranded,,US,,,,,,"Egg Harbor, NJ",,,Rocap,4,,3,,,,,,N,Only captain saved,
General Scott (1878),,,Sloop,,,12/7/1878,1878,12,7,Sandy Hook,,,,,Foundered,,US,,,,62.8,,"New York,","New York,",Sandy Ho,Fordon,4,,0,"$1,000","$1,600",Lumber,Sandy Ho,N,N,#10668; Partial loss,
General Sedgwick,,,Steamship,,,4/1868,1868,4,,Barnegat,,,,,Disabled,,,,,,,,,,,,40,,0,"$700,000",,,,N,N,"Towed to NY by ""Rescue""",
General Sheridan,,Shaler &,Schooner,1865,"Essex, CT",4/4/1874,1874,4,4,Cold Spring Bar,,,,,Stranded,,US,,,8.5,154,,"Portland, ME",,,Stewart,,,,,,Oysters,,N,N,Refloated after discarding 1/6 cargo,
General Sl,Maryland,Knickerbo,Sidewhee,1891,"Brooklyn,",########,1904,6,15,"Bronx, NY North Brother Island",,,,,Burned; S,Wood,US,235,37.5,7,1284,,"New York, NY",,Excursion,William V,30,1342,1023,,,Passenger service,,N,Y,"Rebuilt as barge ""Maryland""",
General Sl,Maryland,,Barge,,,1/1/1912,1912,1,1,Corsons Inlet,,,,,Foundered in gale,,US,,,,,,,"Camden,","Newark, NJ",,,,,,,Coke,,Y,Y,Destroyed,
General Taylor,,,Schooner,,,1857,1857,,,Barnegat E 10 mi,,,,,Wrecked,,US,,,,,,,Baltimore,"Hudson, NY",,,,,"$5,000",,,,Y,N,Crew rescued,
General Thorn,,,Sloop,,,12/9/1876,1876,12,9,Sandy Hook Light,,,,,Stranded,,US,,,,,,"Portland,","Portland,",Baltimore,Stone,10,,0,"$20,000",,None,Sandy Ho,N,N,Refloated,
Generous Friends,,,Ship,,,1/20/1770,1770,1,20,Great Egg Harbor,,,,,Stranded,,,,,,,,"London, E",Antigua,Philadelp,George Ross,,,0,,,in ballast,,Y,N,Total loss; Crew saved,
Genghis Khan,,,,,,1830,1830,,,Absecon Beach,,,,,Stranded,,US,,,,,,,,,Busk,,,,,,,,Y,N,Most saved; Capt committed suicide,
Gentoo,,W P Godd,Bark,1850,"Medford,",12/28/187,1875,12,28,Sandy Hook Point,,,,,Stranded,,US,,,19,800,,"New York,","Calcutta, I","New York,",Staples,18,,0,"$24,000","$40,000",Gunny ba,Sandy Ho,N,N,Refloated; Towed to NY,
George (1800),,,,,,1800,1800,,,Philadelphia,,,,,Sank,,England,,,,,,,,,,,,,,,,,Y,N,,
George (1864),,T Tower &,Brig,1859,"Machias,",3/31/1864,1864,3,31,Barnegat Inlet S 9 mi,,,,,Stranded,Wood,US,87,27,10,144,,New Have,Mayaguez,New Have,Perkins,,,,,,"Rum, molasses and sugar",,,N,,
George A Howes,,,Schooner,1882,Deals Poi,6/9/1899,1899,6,9,Barnegat,,,,,Capsized,Wood,US,93.3,27.4,7,151,144,Philadelp,Patchogu,"Beaufort,",Beveridge,,,,,,In ballast,,Y,N,#85757,
George Aery,,Hopkins &,Schooner,1876,Jamestow,10/4/1877,1877,10,4,Barnegat,,,,,Lost & split sails,,US,118,34,10.4,315,,"New York, NY",,,Rogers,,,,,,,,N,N,#85465;,
George Anderson,,,Yacht,,,10/3/1880,1880,10,3,Great Egg Harbor S 3 mi,,,,,Capsized,,US,,,,,,"Somers Point, NJ",,,,2,,,,,,Great Egg,Y,N,,
George Burnham,,Charles St,Brig Half,1863,"Freeport,",3/4/1877,1877,3,4,Highland Light SE 40 mi,,,,,"Collision w/ ""Catherine Whitin",,,115.6,27.8,9.6,338,,"Portland, ME",,,,,,,,,,,N,N,#10716; Partial loss,
George Canning,,,Packet shi,1827,"New York,",1/7/1832,1832,1,7,Absecon,,,39-20-00,74-28-00,Stranded,,,131,30.6,13.3,551,,,"Liverpool,","New York,",Francis Allyn,,,0,,,Dry goods & hardwa,,Y,N,Total loss,
George Clinton,,Robert A,Whaler,,,1/18/1838,1838,1,18,"Tuckerton, NJ",,,,,Stranded,,,,,,427,,"Hudson, NY",,Pacific wh,Barrett,,,,,,,,Y,N,Vessel lost; 1459 bbls whale oil saved,
George E Walcott,,E S Crosby,Schooner,1890,"Bath, ME",########,1916,7,30,"Black Tom Basin, NJ",,,,,Burned,,,212.7,44.1,19.6,1533,1475,"Bath, ME",,,Mitchell R,11,,0,,,,,,N,#86116,
George Edwards,,J May,Schooner,1848,"Milford, D",10/6/1867,1867,10,6,Sandy Hook,,,,,,Wood,US,,,,170,,"Philadelphia, PA",,,Weeks,8,0,0,"$10,000",,,,Y,N,Total loss,
George F Carmen,,L Baker,Schooner,1865,Patchogu,8/18/1879,1879,8,18,Cape May Lightship NE 15 mi,,,,,Lost in hurricane,,,,,,36,,"Patchogue, NY",,,,,,,,,,,,N,#10918,
George F Phillips,,Daniel J F,Schooner,1901,"Bethel, DE",########,1905,12,21,Bay Head LSS N 1.5 mi,,,,,Grounded,Wood,US,130.2,28.8,8.4,270,237,"Seaford,","Norfolk, V","New York,",Morton,6,,0,"$4,800","$6,500",Lumber,,N,N,#86572; Abandoned; Towed to NY,
George Farrell,,,Tug steam,,,11/28/187,1871,11,28,Sandy Hook,,,,,Sank,,,,,,,,,,,,,,,,,,,Y,N,,
George H,George H Scott,,Schooner,,,2/20/1854,1854,2,20,Barnegat Shoal,,,,,Cast away during snow storm,,,,,,,,"Fredericksburg, VA",,,,8,,8,,,,,,N,,
George H Warren #5,,,Pilot boat,,,2/7/1895,1895,2,7,Sandy Hook,,,,,Lost in gale,,,,,,,,"New York, NY",,,,12,,12,,,,,Y,N,Total loss,
George Hulme,,,Schooner,1852,"Mt Holly,",2/11/1879,1879,2,11,Shrewsbury Inlet,,,,,Stranded in ice,,,,,,37,,"Matawan, NJ",,,,,,,,,,,N,N,#10564; Refloated,
George Kilburn,,Sweet & C,Schooner,1854,Mt Desert,6/7/1878,1878,6,7,Long Beach LSS N 1 mi,,,,,Grounded,,US,,,,142,,"Bangor, M",East Blue,"New York,",Dodge,8,,0,"$5,000","$5,500",Granite,,Y,N,#10168; Total loss,
George Klots,,,Schooner,,,12/20/184,1848,12,20,Great Egg Harbor bar,,,,,Grounded,,,,,,,,,Bridgepor,Philadelp,Smith,,,,,,,,Y,N,Total loss,
George Law (1889),,,Steamship,,,3/24/1889,1889,3,24,Brigantin,,,39-23-00,74-23-00,Grounded,,,,,,,,,,,,,,,,,,,Y,N,Total loss,
George Law (1894),,,Sidewhee,1852,,8/27/1894,1894,8,27,"Bridgeton, NJ",,,,,Burned,,,,,,240,,,,,,,,,,,,,,N,#10489,
George Law (1901),,,Sidewhee,1856,,########,1901,8,27,"Camden, NJ",,,,,Burned,,US,,,,480,410,,,,,9,0,0,,,,,,N,#10489,
George Lewmon,,,Schooner,1881,Onancock,4/23/1883,1883,4,23,Deal LSS N .25 mi,,,,,Dismasted in gale,,US,73,22,5,49,46.66,Onancock,Potomac,"Keyport,",Russell R,5,0,0,"$6,000",$570,Oysters,Deal,Y,N,#85680; Total loss,
George M Hill,,,Sloop,,,########,1910,12,6,Cape May,,,,,Wrecked,,,,,,,,,,,,3,0,0,$350,,,,,N,,
George M,G M Partri,Door & Co,Schooner,1854,"Orland, M",12/11/0187,1874,12,11,Cold Spring Inlet,,,,,Stranded,Wood,US,72.8,19.7,9.1,67,,"Rockland,",Baltimore,"Belfast, M",Mills,4,0,0,"$5,000","$3,650",Corn,Cape May,Y,N,Total loss,
George M Swing,,,Sloop,1869,Bridgeton,10/18/188,1887,10,18,Cape May LSS NNW 2 mi,,,,,Stranded,Wood,US,60,22.8,4.9,48.78,46.35,Bridgeton,Cape May,Philadelp,Williams,3,0,0,"$1,800",$125,Sand,,N,N,#85177; Refloated,
George Nevinger,,James T S,Schooner,1865,"Milton, DE",4/2/1879,1879,4,2,Squan Inlet SE 15 mi,,,,,Lost spars,Wood,US,,,,240.27,228.26,"Camden,",Philadelp,"Boston, M",Jas T Smit,6,0,0,"$8,000","$1,200",Coal,,N,N,#10586; Partially insured,
George Ogden,,,Sloop,,,6/1825,1825,6,,Cape May,,,,,Stranded,,,,,,,,,,,,,,,,,,,,n,,
George Olympus,,,Steamship,,,5/24/1865,1865,5,24,Sandy Hook ESE 70 mi,,,,,Foundered,,,,,,351,,"London, E","New York,","London, E",Matheson,5,0,0,,,,,,N,,
George P Halleck,,,Schooner,1874,Port Rich,10/28/188,1889,10,28,"Toms River, NJ",,,,,Collision,Wood,US,133,33,9.6,323.11,306.96,"New York,","New York,",West Poin,Benjamin Edmonds,,,7,,,Salt,,Y,N,#85331; Total loss,
George R Fisher,,,Schooner,,,1/30/1864,1864,1,30,Squan Inlet S 5 mi,,,,,Stranded,,,,,,,,,"Milford, D","New York,",Erickson,5,0,0,,,,,,N,,
George R Skolfield,,Seaboard,Schooner,1885,Brunswick,########,1920,2,20,"Sea Isle City, NJ",,,,,Stranded,Wood,US,232.1,39.9,24.6,1728,1646,"Boston, M","Fall River,","Hampton Roads, VA",,4,0,0,,,In ballast,,Y,N,#85891; Total loss,
George S Adams,,,Schooner,,,12/24/187,1870,12,24,Montauk S 150 mi,,,,,Sprang leak; abandoned,,,,,,,,"Dennis, M",Washingt,"Boston, M",Baker,,,,,,,,Y,N,Sunk,
George S Low,,David Low,Schooner,1865,"Chelsea,",5/10/1879,1879,5,10,Ludlams Beach N 1 mi,,,,,Grounded,,,70,20.8,7.3,62,,Glouceste,Glouceste,"New York,",Osborne,15,0,0,"$2,800",$600,Mackerel,Ludlams B,Y,N,#10280; Total loss,
George Steers,,,Pilot boat,,,2/12/1865,1865,2,12,Barnegat Inlet,,,,,Grounded,,,77.4,18.1,9.6,,,,"New York, NY",,Hopkins,10,,5,,,None,,Y,N,Total loss,
George T Thorne,,Titus & Co,Schooner,1861,Philadelp,3/2/1868,1868,3,2,Pecks Bea,,,39-14-40,74-36-50,Wrecked,,,,,,301,,Philadelp,New Orle,"New York,",Townsend,5,,,,,Corn & cottonseed,,Y,N,Total loss,
George Taulane,,J D Adams,Schooner,1866,,2/3/1880,1880,2,3,Squan Be,,,40-01-42,74-03-00,Wrecked i,Wood,US,,,,235.37,,"Camden,",Pamunke,"New York,",J D Adams,7,0,2,"$8,000",$600,330 ton pi,Squan Be,Y,Y,#10894;Total loss,
George Temple,,,Schooner,1866,New Lond,12/24/188,1887,12,24,Sandy Hook Romer Shoal,,,,,Stranded,Wood,US,64,19.9,7.8,47,44.84,Stoningto,"New York,",Fishing service,,8,0,0,"$3,000",$250,Fish,,N,N,#10756; Refloated,
George W Catt,,,Dredge,,,4/8/1908,1908,4,8,Cold Spring LSS E 2 mi,,,,,Grounded,,,,,,,,"New York,","Camden,","Cape May, NJ",,9,,0,"$150,000",,,,N,N,Refloated w/o damage,
George W Clyde,,W P Clyde,Steamshi,1872,Philadelp,4/28/1882,1882,4,28,Sandy Hook Romer Shoal Ston,,,,,Collision,Iron,US,254,35,19.6,1801,,"New York,","New York,",San Domi,James Holmes,,26,0,,,,,N,N,Partial loss; Later sank in 1896,
George W Hynson,,P Fitzpatri,Schooner,1860,Great Egg,1/22/1867,1867,1,22,Squan Beach,,,,,Foundered,,,123.3,30.4,9.9,378,,Philadelp,New Orle,Providenc,Shaw,5,0,0,,,Cotton,,,N,,
George W Pettes,,F Joseph,Schooner,1869,Provincet,1/28/1873,1873,1,28,Barnegat Inlet E 8 mi,,,,,"Collision w/ ""Wesle",,US,,,9.5,90,,Provincet,"New York,",York River,Samuel O Brooks,,,,,,,,N,N,Returned to port for repairs,
George W Rodgers,,,Schooner,1853,"Old Lyme,",12/30/188,1880,12,30,Absecon Inlet North shoal,,,,,Grounded,Wood,,54.8,18.6,7.8,41,,Greenpor,Atlantic Ci,"New York, NY",,5,,,,,Codfish,Atlantic Ci,N,N,#10758; Refloated,
George Washington (1852),,,Schooner,,,3/15/1852,1852,3,15,Cape May,,,,,Stranded,,,,,,,,,,,,,,,,,,,,N,,
George Washington,,H B Crom,Steamshi,1862,"New York,",5/18/1872,1872,5,18,Barnegat,,,,,"Collision w/ ""Dantel",,US,,,15,989,,"New York,","New York,",New Orle,Elvin V Gager,,,,,,,,N,N,Partial loss,
George White (1883),,,Schooner,1871,"Barnegat,",10/17/188,1883,10,17,Barnegat LSS NNE 1 mi,,,,,Stranded,,,,,,42.27,,Tuckerton,"Barnegat,",Virginia,Conklin,3,0,0,"$1,500",,None,Barnegat,N,N,#85170; Refloated,
George White (1884),,,Schooner,1871,"Barnegat,",4/9/1884,1884,4,9,Great Egg Harbor,,,,,Stranded,,,,,,42.27,,Tuckerton,Hog Islan,Little Egg,Conklin,4,0,0,"$2,000",$450,Oysters,,N,N,#85170; Refloated,
Georgia,,,Sailing shi,1847,"Boston, M",12/3/1852,1852,12,3,Bonds LSS,,,39-32-18,74-14-40,Grounded,Wood,US,,,,,,"Savannah,","Liverpool,","New York,",Marshall Brady,,296,0,,,Iron; salt,,Y,N,All saved,
Georgiana (1886),,,Schooner,,,1/21/1886,1886,1,21,Atlantic City LSS S 1 mi,,,,,Stranded,,,34,12,4,11.85,11.26,Greenpor,Atlantic Ci,Fishing tri,Lord,3,,0,"$1,000",,,Atlantic Ci,Y,N,#10640; Broke up; Total loss,
Georgiana (1938),,,Motor ves,1905,"Salem, M",########,1938,5,14,Corsons Inlet,,,,,Foundered,,,42.1,14.2,6.5,17,10,"New York, NY",,Fishing service,,1,,0,,,,,Y,N,#201967; Total loss,
Georgic,,White Sta,Steamshi,1895,"Belfast, Ir",########,1908,11,26,Sandy Hook,,,,,Collision,Steel,England,558.7,60.2,36,10077,6570,"Liverpool,","Liverpool,","New York,",Clarke,38,,0,,,Elelphants; livestock,,N,Y,#105326;,"See folder on ""Finance"""
Georgie B,Bowdoin,,Schooner,1866,Westbroo,########,1902,12,6,Holly Beach LSS SE 3 mi,,,,,In distress,Wood,US,109.3,27.4,11.3,265,251,"Rockland,","Red Bank,",Philadelp,Martin,6,,0,"$3,000","$4,000",Plaster,Holly Beach,,N,#2505,
Georgie Clark,,E S Bartlet,Schooner,1871,Coopers P,2/19/1894,1894,2,19,Spermaceti Cove LSS N 2 mi,,,,,Grounded,Wood,US,129.9,31.2,8,365.12,346.86,Philadelp,Wilmingt,"New York,",Bartlett,7,,0,"$8,000","$6,000",Lumber,Spermace,N,N,#85243; Refloated; No loss,
Georgie L Drake,,,Schooner,1883,"Bath, ME",4/3/1891,1891,4,3,Sandy Hook Point,,,,,Stranded,,,143.3,35.1,12.5,465.93,442.64,"Bath, ME","Mobile, A","New York,",Goldthwa,8,,0,"$12,000","$1,500",Lumber,Sandy Ho,N,N,#85766; Refloated,
Gerald A Kelleher,,,Barge,1909,,########,1959,11,1,"Weehawken, NJ",,,,,Lost,,,,,,256,,,,,,,,,,,,,,N,,
Gerald J Killian,,,Barge,1925,,2/1/1948,1948,2,1,"Hoboken, NJ",,,,,Stranded,,,,,,269,,,,,,,,,,,,,,N,,
Germania,Cumberla,H Addicks,Bark,1852,Baltimore,11/27/188,1889,11,27,Long Branch LSS N .75 mi,,,,,Grounded,Wood,Germany,154.5,33.9,21.4,,817,Bremerha,"Stettin, G","New York,",H Windho,15,0,10,"$10,000","$17,000","Cement,",Long Bran,Y,N,Broke up; Total loss,
Gertrude (1892),,,Sloop,,Penns Gro,12/24/189,1892,12,24,Long Branch LSS E 300 yds,,,,,Stranded,Wood,US,38,14.2,4.8,1818.14,17.23,Somers P,Virginia,"New York,",Hilton,2,0,0,$800,$700,Clams,Long Bran,N,N,#10945; Refloated,
Gertrude (1923),,,Motor ves,1911,"Belhaven,",########,1923,10,6,Barnegat,,,,,Foundered,,,44.5,9,6.9,12,,"New York, NY",,,,14,0,0,,,,,Y,N,#208844; Total loss,
Gertrude T Browning,,George A,Schooner,1877,"Absecon,",8/21/1897,1897,8,21,Little Egg Harbor Light E 8 mi,,,,,Foundere,Wood,US,94.9,28.8,6.8,134.45,127.73,Philadelp,"New York,",Washingt,Alen S Bra,6,0,0,"$3,000",$500,100 ton coal,,Y,N,#85511; Total loss,
Ghost,,,Motor ves,1914,,1/9/1916,1916,1,9,Absecon Beach E 12 mi,,,,,Burned; F,Wood,,,,,9,,Philadelp,Atlantic Ci,Fishing tri,William C,3,0,0,"$6,000",,None,,Y,N,"#212791; Total loss; ""Guyasuta"" rescued crew",
Gilman D King,,,Schooner,,,6/2/1870,1870,6,21,Squan Beach N 1 mi,,,,,Grounded,,,,,,137,,"Calais, ME","Jamaica,","New York,",S A Eldrid,5,,0,,,Bamboo,,N,N,#10553; Refloaterd,
Gin,,Alan Davi,Sailboat,,,########,1988,9,24,"Ocean City, NJ",,,,,Stranded; Capsized,,,42,,,,,,,,,2,0,0,,,,USCG Gre,N,N,Later salvaged,
Glad Tidings,,,Schooner - yacht,,,########,1965,10,7,Island Beach,,,,,Stranded,,,45,,,,,,,,Lloyd Jenness,,,,"$8,000",,,USCG Cutt,N,N,Cutter & yacht were refloated,
Gladys,,,Steamshi,1871,,########,1929,12,11,,,,,,Burned,,,,,,24,,"Kingston, NJ",,,,4,0,0,,,,,,N,#8718,
Gladys Whiting,,,Schooner,1896,"Oriole, M",4/5/1898,1898,4,5,Little Egg LSS SW 1.5 mi,,,,,In distress; Split sails in storm,,,63.7,17.5,4.9,28,20,"Norfolk, VA",,,Sturgess,,,,"$1,600",$200,Oysters,Little Egg,N,N,#86381; Refloated,
Gleaner,,,,,,1838 - 187,1860,,,Long Beac,,,39-36-00,74-12-06,Stranded,,,,,,,,,South America,,,,,,,,"Hides, wool, fur",,Y,N,Total loss,
Glen II,,Glen Sout,Tug,,,########,1953,1,31,Sandy Ho,,,40-25-28,73-54-00,Leaking,,,83,,,68,,Baltimore,"New York,",Baltimore,John G Lin,6,,0,,,,,Y,Y,"Sank; Crew rescued by ""New Jersey""",
Glengairn,,H S Jacobs,Bark,1863,Aberdeen,8/25/1873,1873,8,25,Barnegat E 30 mi,,,,,Collision,Wood,Norway,188.3,33,21.4,877,848,Flekkefjor,Flekkefjor,"Philadelphia, PA",,,,,,,In ballast,,Y,N,Total loss,
Glenmore,,,Barge,,,########,1950,5,19,South Amboy Coal Docks,,,,,Burned,,,,,,165,,,,,,,,,,,,,,N,Burned at dock,
Glenwood,,,Steamshi,1911,,########,1912,8,18,"Greenville, NJ",,,,,Explosion,,,,,,21,,,,,,2,0,0,,,,,,N,#2009007,
Glide,,,Schooner,,,3/15/1876,1876,3,15,Island Beach LSS,,,,,Stranded,,,,,,28,,Middleto,"Key Port,","Salem, NJ",Carter,5,0,0,"$2,000",$150,,Island Bea,N,N,Refloated,
Globe (1836),,,,,,12/1836,1836,12,,Light S 15 mi,,,,,Grounded,,,,,,,,,"Bath, ME","New Orleans, LA",,,,,,,,,,N,,
Globe (1841),,,Schooner,,,7/1841,1841,7,,Sandy Hook NE 240 mi,,,,,Presummed lost,,,,,,,,,Elizabeth,Providenc,Curtis,,,,,,Corn,,Y,N,Left Elizabeth City 2/1/1841; No further word,
